Unnamed: 0,high_priced,derived_loan_product_type,loan_purpose,reverse_mortgage,loan_amount,loan_to_value_ratio,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,property_value,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,cv_fold
4064704,1,Conventional:Subordinate Lien,1,2,25000,89.99,,,360.0,,1.0,2,1,2,195000.0,82.0,20%-<30%,8,10,2
2736704,0,Conventional:Subordinate Lien,1,2,195000,90.0,,,300.0,36.0,1.0,2,1,2,1315000.0,375.0,20%-<30%,3,10,1
2946790,0,Conventional:Subordinate Lien,1,2,225000,79.07050353,,,300.0,,1.0,2,1,2,855000.0,355.0,20%-<30%,8,10,4
1158532,0,Conventional:First Lien,1,2,305000,58.25,,,300.0,24.0,1.0,2,1,2,515000.0,65.0,46,3,10,2
2254275,0,Conventional:First Lien,1,2,235000,53.09,,,360.0,,1.0,2,2,2,435000.0,64.0,48,8,10,1
2249591,0,Conventional:Subordinate Lien,1,2,55000,53.87,,,360.0,,1.0,2,2,2,125000.0,108.0,20%-<30%,8,8,2
302094,0,Conventional:Subordinate Lien,1,2,55000,90.0,,,360.0,,1.0,2,1,2,595000.0,185.0,36,1,1,3
4797456,0,Conventional:Subordinate Lien,1,2,85000,90.0,,,480.0,,1.0,2,1,2,855000.0,,<20%,1,10,1
5545539,0,Conventional:First Lien,1,2,145000,89.9,,,480.0,,,2,2,2,155000.0,86.0,20%-<30%,2,2,1
5545865,0,Conventional:Subordinate Lien,1,2,85000,86.4,,,480.0,,,2,2,2,405000.0,188.0,20%-<30%,2,10,4
1636269,0,Conventional:Subordinate Lien,1,2,365000,90.0,,,240.0,,1.0,2,1,2,905000.0,330.0,30%-<36%,2,2,3
3878751,1,Conventional:Subordinate Lien,1,2,15000,84.5,,,480.0,,,2,2,2,95000.0,67.0,46,2,10,2
1836742,0,Conventional:Subordinate Lien,1,2,505000,49.74,,,360.0,36.0,1.0,2,2,2,1105000.0,276.0,50%-60%,8,10,2
4250166,0,Conventional:First Lien,1,2,605000,98.4,,,240.0,,1.0,2,1,1,615000.0,301.0,<20%,2,9,0
2764012,0,Conventional:Subordinate Lien,1,2,45000,61.63,,,360.0,36.0,,2,1,2,805000.0,140.0,47,8,10,1
4060629,1,Conventional:Subordinate Lien,1,2,45000,89.69,,,360.0,,1.0,2,1,2,485000.0,89.0,44,8,9,1
4074330,0,Conventional:First Lien,1,2,205000,61.19,,,300.0,,1.0,2,1,2,345000.0,72.0,49,8,10,2
952799,0,Conventional:First Lien,1,2,95000,90.0,,,300.0,,4.0,2,1,2,195000.0,76.0,47,1,3,1
1797051,0,Conventional:First Lien,1,2,155000,76.96,,,360.0,36.0,1.0,2,2,2,195000.0,97.0,<20%,8,9,1
611505,0,Conventional:First Lien,1,2,255000,62.81,,,300.0,,1.0,2,1,1,395000.0,89.0,42,1,1,0
5546088,0,Conventional:Subordinate Lien,1,2,65000,89.9,,,444.0,,,2,1,2,275000.0,96.0,20%-<30%,2,10,3
2946584,0,Conventional:Subordinate Lien,1,2,75000,86.85855263,,,300.0,,1.0,2,1,2,605000.0,410.0,<20%,8,10,1
1454015,0,Conventional:Subordinate Lien,1,2,45000,90.0,,,300.0,,1.0,2,2,2,435000.0,133.0,20%-<30%,1,10,4
5733372,0,Conventional:Subordinate Lien,1,2,125000,80.0,,,360.0,,1.0,2,1,2,725000.0,326.0,20%-<30%,8,9,4
4539712,0,Conventional:Subordinate Lien,1,2,45000,89.837,,,359.0,36.0,60.0,2,1,2,425000.0,141.0,39,1,10,0
5733516,0,Conventional:Subordinate Lien,1,2,185000,89.91,,,360.0,,1.0,2,1,2,715000.0,153.0,42,8,10,1
726064,0,Conventional:First Lien,1,2,65000,80.0,,,120.0,,12.0,2,1,1,75000.0,57.0,20%-<30%,3,10,3
5730000,1,Conventional:Subordinate Lien,1,2,95000,89.99,,,360.0,,1.0,2,1,2,475000.0,138.0,39,8,10,1
1454918,0,Conventional:Subordinate Lien,1,2,95000,90.0,,,300.0,,1.0,2,2,2,915000.0,271.0,20%-<30%,3,3,0
348199,0,Conventional:First Lien,1,2,135000,80.0,,,240.0,,,2,2,2,175000.0,195.0,<20%,3,9,4
5735467,0,Conventional:Subordinate Lien,1,2,25000,89.99,,,360.0,,1.0,2,1,2,155000.0,75.0,20%-<30%,8,10,2
210544,0,Conventional:Subordinate Lien,1,2,85000,79.62,,,300.0,,12.0,2,1,2,345000.0,313.0,<20%,8,10,2
3558556,0,Conventional:Subordinate Lien,1,2,225000,84.84,,,361.0,36.0,,2,2,2,475000.0,199.0,20%-<30%,1,9,3
4067658,0,Conventional:Subordinate Lien,1,2,165000,89.97,,,360.0,,1.0,2,1,2,685000.0,163.0,30%-<36%,8,10,4
1139771,0,Conventional:First Lien,1,2,75000,89.566,,,120.0,,1.0,2,1,1,85000.0,58.0,<20%,1,1,0
5733894,0,Conventional:Subordinate Lien,1,2,315000,89.99,,,360.0,,1.0,2,1,2,1105000.0,342.0,38,8,10,0
1153840,1,Conventional:Subordinate Lien,1,2,95000,89.934,,,180.0,,,2,2,2,935000.0,276.0,30%-<36%,3,1,2
4066325,0,Conventional:Subordinate Lien,1,2,205000,80.0,,,360.0,,1.0,2,1,2,1115000.0,249.0,41,8,10,2
2355668,0,Conventional:First Lien,1,2,435000,65.65,,,180.0,,36.0,2,1,1,655000.0,239.0,30%-<36%,3,3,2
1616858,0,Conventional:First Lien,1,2,85000,79.36,,,180.0,,3.0,2,2,2,105000.0,47.0,20%-<30%,2,9,3
4062598,1,Conventional:Subordinate Lien,1,2,105000,89.9,,,360.0,,1.0,2,1,2,625000.0,264.0,30%-<36%,8,10,3
5728612,1,Conventional:Subordinate Lien,1,2,245000,88.86,,,360.0,,1.0,2,1,2,1035000.0,242.0,44,8,10,4
4874912,1,Conventional:Subordinate Lien,1,2,55000,95.0,,,360.0,,1.0,2,1,2,395000.0,140.0,20%-<30%,7,10,0
5728035,1,Conventional:Subordinate Lien,1,2,145000,89.99,,,360.0,,1.0,2,1,2,665000.0,363.0,30%-<36%,8,9,2
4533438,0,Conventional:Subordinate Lien,1,2,115000,83.11,,,360.0,36.0,1.0,2,2,2,1275000.0,220.0,42,1,9,1
4870729,0,Conventional:Subordinate Lien,1,2,215000,89.9,,,360.0,,1.0,2,1,2,2155000.0,436.0,42,8,8,4
4063849,0,Conventional:Subordinate Lien,1,2,305000,76.39,,,360.0,,1.0,2,1,2,725000.0,228.0,36,8,10,1
1798975,0,Conventional:Subordinate Lien,1,2,55000,79.97,,,360.0,,1.0,2,2,2,285000.0,110.0,30%-<36%,8,10,0
1800998,0,Conventional:First Lien,1,2,405000,43.24,,,360.0,36.0,1.0,2,2,2,925000.0,116.0,42,8,9,2
3355004,0,Conventional:First Lien,1,2,205000,25.64,,,360.0,24.0,,2,1,2,785000.0,118.0,20%-<30%,2,10,2
5732617,1,Conventional:Subordinate Lien,1,2,85000,89.82,,,360.0,,1.0,2,1,2,595000.0,102.0,44,8,10,1
1865656,0,Conventional:Subordinate Lien,1,2,45000,90.0,,,360.0,24.0,6.0,2,1,2,485000.0,274.0,30%-<36%,8,8,1
1189453,0,Conventional:First Lien,1,2,65000,15.17,,,,,2.0,2,2,2,395000.0,214.0,<20%,3,3,4
5733215,0,Conventional:Subordinate Lien,1,2,295000,67.27,,,360.0,,1.0,2,1,2,1105000.0,193.0,39,8,9,2
4060329,1,Conventional:Subordinate Lien,1,2,15000,89.99,,,360.0,,1.0,2,1,2,525000.0,273.0,40,8,10,4
5727825,1,Conventional:Subordinate Lien,1,2,85000,85.0,,,360.0,,1.0,2,1,2,825000.0,168.0,36,8,10,2
4808655,0,Conventional:Subordinate Lien,1,2,45000,79.59,,,180.0,,,2,2,1,195000.0,128.0,20%-<30%,9,2,0
5735571,0,Conventional:Subordinate Lien,1,2,255000,85.0,,,360.0,,1.0,2,1,2,1105000.0,221.0,44,8,9,4
4061735,1,Conventional:Subordinate Lien,1,2,105000,89.99,,,360.0,,1.0,2,1,2,695000.0,294.0,20%-<30%,8,9,4
1212814,0,Conventional:First Lien,1,1111,115000,80.0,,,360.0,,,2,2,2,145000.0,40.0,40,3,10,4
5734127,0,Conventional:Subordinate Lien,1,2,65000,85.94,,,360.0,,1.0,2,1,2,1095000.0,250.0,42,8,9,4
4063434,1,Conventional:Subordinate Lien,1,2,135000,89.9,,,360.0,,1.0,2,1,2,895000.0,311.0,20%-<30%,8,9,4
2832116,0,Conventional:Subordinate Lien,1,2,215000,29.9,,,360.0,,1.0,2,2,2,735000.0,270.0,36,7,9,0
2871784,0,Conventional:Subordinate Lien,1,2,135000,77.818,,,359.0,36.0,24.0,2,1,2,1105000.0,205.0,42,3,10,2
