0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,,,,inf,,inf,inf,,
,,,,,,,,,
,,,,,,,,,
-0.0003284997659539547,-0.0005288133105315979,9.680161626089718e-05,-0.013722859125870995,0.010216472767882647,0.05491658950059733,-0.04445372424172514,0.015027558270609304,-0.0008675101314623193,0.003661014814056497
,,,,,,,,,
,,,,,,,,,
