,0
0,-0.013901580534242052
1,4.265743285118773e-05
2,-0.0080149364258975
3,-0.002094662556859632
4,1.1074974753035267e-05
5,0.003305225017356378
6,-8.715763582118712e-07
7,-3.562884557992282e-08
8,-0.0008110106860680984
9,0.006552062963067574
